ModelID,Scenario,SelectionRule,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParmeter,KeepAssosiatedEps,ImplicitSSR,nSimulation,Seed,SummaryStat,plotGraphs,Parallel
11,"Normal,CombPValue,t-unequal",Random,CombPValue,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,,random,,TRUE,Selection,1,100,FALSE,FALSE,TRUE
12,"Normal,CombPValue,t-unequal",Conservative,CombPValue,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-1.011735,TRUE,Selection,1,100,FALSE,FALSE,TRUE
13,"Normal,CombPValue,t-unequal",Normal,CombPValue,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,1,100,FALSE,FALSE,TRUE
14,"Normal,CombPValue,t-unequal",Aggressive,CombPValue,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,1.011735,TRUE,Selection,1,100,FALSE,FALSE,TRUE
15,"Normal,CombPValue,t-unequal",Utra-Aggressive,CombPValue,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,1,100,FALSE,FALSE,TRUE
16,"Normal,CER,t-unequal",Random,CER,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,,random,,TRUE,Selection,1,100,FALSE,FALSE,TRUE
17,"Normal,CER,t-unequal",Conservative,CER,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-1.011735,TRUE,Selection,1,100,FALSE,FALSE,TRUE
18,"Normal,CER,t-unequal",Normal,CER,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,1,100,FALSE,FALSE,TRUE
19,"Normal,CER,t-unequal",Aggressive,CER,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,1.011735,TRUE,Selection,1,100,FALSE,FALSE,TRUE
20,"Normal,CER,t-unequal",Utra-Aggressive,CER,500,0.025,t-unequal,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,1,100,FALSE,FALSE,TRUE
21,"Normal,CombPValue,t-equal",Random,CombPValue,500,0.025,z,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,,random,,TRUE,Selection,1,100,FALSE,FALSE,TRUE
22,"Normal,CombPValue,t-equal",Conservative,CombPValue,500,0.025,z,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-1.011735,TRUE,Selection,1,100,FALSE,FALSE,TRUE
23,"Normal,CombPValue,t-equal",Normal,CombPValue,500,0.025,z,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,1,100,FALSE,FALSE,TRUE
24,"Normal,CombPValue,t-equal",Aggressive,CombPValue,500,0.025,z,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,1.011735,TRUE,Selection,1,100,FALSE,FALSE,TRUE
25,"Normal,CombPValue,t-equal",Utra-Aggressive,CombPValue,500,0.025,z,FALSE,,None,5,2,"list(EP1=""Continuous"",""EP2""=""Continuous"")","list('EP1' = c(0,0,0,0,0),'EP2' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5),'EP2' = c(2.1,2.2,2.3, 2.4, 2.5))",NA,"c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,1,100,FALSE,FALSE,TRUE
